Actual,Predicted,Error
91,80.01,10.99
65,66.22,1.22
45,41.08,3.92
36,41.89,5.89
66,60.54,5.46
61,62.98,1.98
63,58.92,4.08
42,36.21,5.79
61,62.17,1.17
69,71.9,2.9
84,73.52,10.48
73,63.79,9.21
27,37.84,10.84
33,37.84,4.84
68,63.79,4.21
43,58.11,15.11
67,58.92,8.08
70,67.03,2.97
30,43.51,13.51
63,60.54,2.46
71,80.01,9.01
85,77.57,7.43
73,59.73,13.27
57,68.65,11.65
35,49.19,14.19
49,50,1
66,63.79,2.21
83,67.84,15.16
74,75.95,1.95
74,72.71,1.29
39,49.19,10.19
36,35.4,0.6
58,56.49,1.51
47,41.89,5.11
60,54.06,5.94
74,78.39,4.39
42,47.57,5.57
68,58.11,9.89
32,44.32,12.32
64,54.87,9.13
45,50,5
39,50.81,11.81
58,58.92,0.92
36,37.03,1.03
71,62.17,8.83
54,61.35,7.35
17,34.59,17.59
54,58.92,4.92
58,65.41,7.41
53,49.19,3.81
27,35.4,8.4
65,71.9,6.9
75,65.41,9.59
52,50,2
78,75.14,2.86
91,80.01,10.99
33,43.51,10.51
47,56.49,9.49
78,79.2,1.2
38,38.65,0.65
70,66.22,3.78
98,78.39,19.61
87,74.33,12.67
49,51.62,2.62
41,51.62,10.62
71,71.09,0.09
54,48.38,5.62
42,38.65,3.35
91,75.95,15.05
61,70.28,9.28
74,62.17,11.83
54,49.19,4.81
81,66.22,14.78
52,50,2
65,71.09,6.09
36,34.59,1.41
61,54.87,6.13
35,43.51,8.51
15,32.16,17.16
88,75.14,12.86
45,55.68,10.68
49,54.87,5.87
33,47.57,14.57
60,58.11,1.89
71,64.6,6.4
81,67.03,13.97
67,60.54,6.46
95,80.01,14.99
58,49.19,8.81
29,41.89,12.89
21,37.03,16.03
38,37.84,0.16
60,54.06,5.94
76,67.84,8.16
69,66.22,2.78
30,38.65,8.65
57,51.62,5.38
81,76.76,4.24
36,44.32,8.32
25,39.46,14.46
27,40.27,13.27
61,56.49,4.51
34,41.08,7.08
76,80.01,4.01
57,56.49,0.51
45,42.7,2.3
76,72.71,3.29
83,67.03,15.97
50,57.3,7.3
81,71.9,9.1
66,74.33,8.33
38,45.14,7.14
56,59.73,3.73
25,32.16,7.16
56,54.87,1.13
82,72.71,9.29
23,34.59,11.59
56,50,6
46,54.06,8.06
43,44.32,1.32
30,41.08,11.08
92,74.33,17.67
45,48.38,3.38
70,67.84,2.16
36,45.14,9.14
71,63.79,7.21
49,41.89,7.11
82,73.52,8.48
71,78.39,7.39
43,57.3,14.3
77,61.35,15.65
86,71.9,14.1
34,43.51,9.51
49,41.08,7.92
69,71.09,2.09
84,77.57,6.43
41,43.51,2.51
68,58.92,9.08
44,36.21,7.79
41,45.14,4.14
58,70.28,12.28
68,71.09,3.09
94,77.57,16.43
47,47.57,0.57
40,38.65,1.35
100,79.2,20.8
23,35.4,12.4
36,50,14
47,58.11,11.11
60,62.17,2.17
83,76.76,6.24
33,42.7,9.7
36,45.14,9.14
74,77.57,3.57
42,46.76,4.76
47,58.11,11.11
31,32.16,1.16
26,41.89,15.89
58,68.65,10.65
42,53.25,11.25
18,36.21,18.21
85,79.2,5.8
36,36.21,0.21
58,58.11,0.11
45,55.68,10.68
60,68.65,8.65
56,59.73,3.73
42,50,8
33,39.46,6.46
77,72.71,4.29
51,46.76,4.24
72,72.71,0.71
57,54.06,2.94
53,50,3
16,34.59,18.59
45,47.57,2.57
49,46.76,2.24
67,65.41,1.59
49,53.25,4.25
73,77.57,4.57
65,58.92,6.08
27,34.59,7.59
72,76.76,4.76
74,62.17,11.83
38,37.03,0.97
67,70.28,3.28
28,37.03,9.03
73,71.9,1.1
72,73.52,1.52
42,52.43,10.43
47,52.43,5.43
77,75.14,1.86
49,46.76,2.24
30,38.65,8.65
54,47.57,6.43
56,65.41,9.41
75,67.84,7.16
78,71.9,6.1
32,44.32,12.32
89,75.14,13.86
29,45.14,16.14
57,49.19,7.81
48,41.89,6.11
27,41.08,14.08
38,39.46,1.46
18,32.16,14.16
66,57.3,8.7
65,55.68,9.32
27,37.84,10.84
33,48.38,15.38
37,49.19,12.19
29,45.95,16.95
26,32.97,6.97
72,70.28,1.72
77,67.03,9.97
45,38.65,6.35
41,33.78,7.22
73,75.14,2.14
43,52.43,9.43
39,48.38,9.38
54,55.68,1.68
62,54.06,7.94
63,60.54,2.46
59,52.43,6.57
46,58.92,12.92
42,37.84,4.16
30,39.46,9.46
63,70.28,7.28
89,75.95,13.05
62,66.22,4.22
77,71.9,5.1
88,75.14,12.86
35,42.7,7.7
60,63.79,3.79
92,75.95,16.05
38,43.51,5.51
56,45.14,10.86
70,74.33,4.33
35,45.95,10.95
47,57.3,10.3
66,62.17,3.83
43,50,7
81,68.65,12.35
43,50,7
46,59.73,13.73
61,62.98,1.98
27,43.51,16.51
77,74.33,2.67
43,50.81,7.81
60,54.06,5.94
48,44.32,3.68
47,44.32,2.68
60,63.79,3.79
53,62.98,9.98
19,36.21,17.21
23,32.97,9.97
81,75.14,5.86
41,41.89,0.89
71,67.03,3.97
75,69.46,5.54
89,79.2,9.8
28,38.65,10.65
60,58.92,1.08
54,45.14,8.86
41,53.25,12.25
52,54.87,2.87
53,61.35,8.35
52,66.22,14.22
47,49.19,2.19
71,72.71,1.71
42,50.81,8.81
21,37.03,16.03
48,58.92,10.92
64,70.28,6.28
38,41.08,3.08
49,50,1
35,43.51,8.51
73,58.11,14.89
81,77.57,3.43
47,41.89,5.11
36,50,14
63,62.17,0.83
52,57.3,5.3
58,67.84,9.84
77,71.9,5.1
58,59.73,1.73
33,32.16,0.84
67,69.46,2.46
76,78.39,2.39
62,67.84,5.84
37,35.4,1.6
86,77.57,8.43
37,41.89,4.89
88,75.14,12.86
38,35.4,2.6
76,80.01,4.01
57,57.3,0.3
82,72.71,9.29
35,48.38,13.38
41,50.81,9.81
75,80.01,5.01
51,45.95,5.05
34,48.38,14.38
92,75.14,16.86
39,39.46,0.46
56,50.81,5.19
69,63.79,5.21
69,69.46,0.46
40,48.38,8.38
63,51.62,11.38
86,73.52,12.48
89,80.01,8.99
94,77.57,16.43
79,79.2,0.2
44,50,6
33,49.19,16.19
36,34.59,1.41
50,58.92,8.92
94,76.76,17.24
22,36.21,14.21
44,54.06,10.06
60,56.49,3.51
64,59.73,4.27
58,62.98,4.98
78,65.41,12.59
51,50,1
30,36.21,6.21
29,44.32,15.32
22,32.97,10.97
51,50.81,0.19
45,45.14,0.14
70,67.84,2.16
10,32.16,22.16
38,36.21,1.79
30,35.4,5.4
82,77.57,4.43
74,67.84,6.16
87,80.01,6.99
77,75.95,1.05
72,71.9,0.1
51,54.87,3.87
40,41.08,1.08
72,62.98,9.02
68,69.46,1.46
22,33.78,11.78
67,70.28,3.28
18,32.16,14.16
64,53.25,10.75
66,70.28,4.28
50,50.81,0.81
68,67.03,0.97
44,46.76,2.76
90,79.2,10.8
41,37.84,3.16
83,75.95,7.05
57,67.03,10.03
64,69.46,5.46
18,32.97,14.97
62,55.68,6.32
66,55.68,10.32
85,71.09,13.91
62,62.98,0.98
62,67.84,5.84
62,57.3,4.7
26,32.16,6.16
66,62.17,3.83
43,41.89,1.11
30,40.27,10.27
25,39.46,14.46
77,70.28,6.72
88,79.2,8.8
62,52.43,9.57
82,76.76,5.24
73,75.95,2.95
44,47.57,3.57
40,45.14,5.14
39,45.14,6.14
34,34.59,0.59
27,35.4,8.4
73,80.01,7.01
46,50,4
78,68.65,9.35
80,73.52,6.48
33,39.46,6.46
68,68.65,0.65
45,54.06,9.06
56,58.11,2.11
58,66.22,8.22
37,52.43,15.43
88,75.95,12.05
75,71.9,3.1
70,70.28,0.28
62,54.87,7.13
57,53.25,3.75
32,45.95,13.95
53,63.79,10.79
82,80.01,1.99
41,39.46,1.54
75,78.39,3.39
63,65.41,2.41
17,35.4,18.4
24,39.46,15.46
69,71.9,2.9
47,48.38,1.38
43,50.81,7.81
48,62.17,14.17
17,33.78,16.78
75,63.79,11.21
54,56.49,2.49
59,64.6,5.6
56,61.35,5.35
20,32.97,12.97
34,32.97,1.03
54,62.98,8.98
83,71.09,11.91
59,65.41,6.41
63,67.03,4.03
72,58.92,13.08
70,65.41,4.59
41,47.57,6.57
54,58.11,4.11
21,34.59,13.59
83,67.84,15.16
64,67.03,3.03
51,40.27,10.73
66,65.41,0.59
83,69.46,13.54
26,35.4,9.4
49,51.62,2.62
85,71.09,13.91
95,80.01,14.99
56,61.35,5.35
50,58.92,8.92
23,38.65,15.65
26,36.21,10.21
30,45.95,15.95
28,42.7,14.7
48,46.76,1.24
46,42.7,3.3
73,63.79,9.21
45,45.14,0.14
76,80.01,4.01
71,59.73,11.27
60,54.87,5.13
77,65.41,11.59
36,45.14,9.14
96,79.2,16.8
62,66.22,4.22
22,37.84,15.84
21,32.16,11.16
79,67.84,11.16
82,74.33,7.67
55,60.54,5.54
22,37.03,15.03
70,68.65,1.35
37,35.4,1.6
42,50.81,8.81
64,54.06,9.94
72,66.22,5.78
42,45.14,3.14
56,61.35,5.35
43,47.57,4.57
24,33.78,9.78
55,61.35,6.35
64,52.43,11.57
34,43.51,9.51
78,72.71,5.29
71,70.28,0.72
33,37.84,4.84
46,41.89,4.11
86,70.28,15.72
34,33.78,0.22
26,32.16,6.16
44,38.65,5.35
53,56.49,3.49
61,64.6,3.6
84,75.14,8.86
40,52.43,12.43
53,45.14,7.86
67,76.76,9.76
58,58.92,0.92
41,38.65,2.35
89,76.76,12.24
85,72.71,12.29
33,41.89,8.89
20,35.4,15.4
66,64.6,1.4
38,41.89,3.89
25,32.16,7.16
43,51.62,8.62
79,69.46,9.54
16,34.59,18.59
67,60.54,6.46
80,73.52,6.48
26,39.46,13.46
57,54.06,2.94
91,77.57,13.43
29,36.21,7.21
48,53.25,5.25
84,76.76,7.24
